D,fcy,Ac,As,αsc,Nu0,C,Ns,Vs,Vc,N
168.8,18.2,21000.5968716293,1378.09857324607,0.0656218764480835,798.947871613265,530.300839925957,416.737008549611,420320.064840051,6405182.04584694,1326.0
168.3,27.0,20383.6034682683,1862.71311616645,0.0913829156393368,1087.56375634565,528.730043599162,537.206462702405,568127.500430769,6216999.05782183,1557.0
168.8,33.4,19805.7310615853,2572.96438329004,0.129910093966715,1176.61888699162,530.300839925957,515.107469534666,784754.136903462,6040747.97378353,1966.0
168.8,33.4,19805.7310615853,2572.96438329004,0.129910093966715,1176.61888699162,530.300839925957,515.107469534666,784754.136903462,6040747.97378353,1970.0
168.8,27.9,19805.7310615853,2572.96438329004,0.129910093966715,1067.6873661529,530.300839925957,515.107469534666,784754.136903462,6040747.97378353,1984.0
168.8,27.9,19805.7310615853,2572.96438329004,0.129910093966715,1067.6873661529,530.300839925957,515.107469534666,784754.136903462,6040747.97378353,1984.0
168.8,18.2,21000.5968716293,1378.09857324607,0.0656218764480835,658.106197427517,530.300839925957,275.895334363863,2521920.38904031,38431092.2750817,823.0
168.3,27.0,20383.6034682683,1862.71311616645,0.0913829156393368,1087.56375634565,528.730043599162,537.206462702405,3976892.50301538,43518993.4047528,947.0
168.8,33.4,19805.7310615853,2572.96438329004,0.129910093966715,1439.57584696386,530.300839925957,778.064429506908,5493278.95832424,42285235.8164847,1130.0
168.8,27.8,19805.7310615853,2572.96438329004,0.129910093966715,1328.66375301898,530.300839925957,778.064429506908,5493278.95832424,42285235.8164847,1165.0
114.3,33.4,9042.51682066221,1218.30963106212,0.134731254055097,728.428432681861,359.084040305313,426.408370871743,278992.905513226,2070736.35193165,969.0
114.3,33.4,8708.56552158561,1552.26093013872,0.178245306450435,817.082543737984,359.084040305313,526.216455317025,355467.753001766,1994261.50444311,1069.0
178.0,22.163029,20106.1929829747,4778.36242611007,0.23765625,1799.39167678816,559.203492338983,1353.7775386269,1720210.47339963,7238229.47387088,2922.38170853439
178.0,22.163029,20106.1929829747,4778.36242611007,0.23765625,1799.39167678816,559.203492338983,1353.7775386269,1720210.47339963,7238229.47387088,2853.73515833392
178.0,45.4047895,20106.1929829747,4778.36242611007,0.23765625,2266.69499866524,559.203492338983,1353.7775386269,1720210.47339963,7238229.47387088,3216.58120939356
178.0,45.4047895,20106.1929829747,4778.36242611007,0.23765625,2266.69499866524,559.203492338983,1353.7775386269,1720210.47339963,7238229.47387088,3177.354609279
179.0,22.163029,22167.0777637296,2997.86478968806,0.135239512471655,1236.26051946918,562.345084992573,744.970932146391,1079231.3242877,7980147.99494265,1814.2302552982
